"Id",                              "Command",                                     "Category",                      "DisplayName",                                      "Severity", "Format", "Type",         "RunIfAdmin", "Risky", "Description"
"USER_USER",                       "Invoke-UserCheck",                            "TA0043 - Reconnaissance",       "User - Identity",                                  "None",     "List",   "Base",         "True",       "False", "Get information about the current user (name, domain name) and its access token (SID, integrity level, authentication ID)."
"USER_GROUPS",                     "Invoke-UserGroupCheck",                       "TA0043 - Reconnaissance",       "User - Groups",                                    "None",     "Table",  "Base",         "True",       "False", "Get information about the groups the current user belongs to (name, type, SID)."
"USER_RESTRICTED_SIDS",            "Invoke-UserRestrictedSidCheck",               "TA0043 - Reconnaissance",       "User - Restricted SIDs",                           "None",     "Table",  "Extended",     "True",       "False", "Get information about potential restricted SIDs applied to the current user."
"USER_PRIVILEGES",                 "Invoke-UserPrivilegeCheck",                   "TA0004 - Privilege Escalation", "User - Privileges",                                "High",     "Table",  "Base",         "False",      "False", "Check whether the current user is granted privileges that can be leveraged for local privilege escalation."
"USER_PRIVILEGES_GPO",             "Invoke-UserPrivilegeGpoCheck",                "TA0004 - Privilege Escalation", "User - Privileges (GPO)",                          "High",     "List",   "Base",         "False",      "False", "Check whether the current user is granted privileges, through a group policy, that can be leveraged for local privilege escalation."
"USER_ENV",                        "Invoke-UserEnvironmentCheck",                 "TA0006 - Credential Access",    "User - Environment Variables",                     "None",     "Table",  "Base",         "True",       "False", "Check whether any environment variables contain sensitive information such as credentials or secrets. Note that this check follows a keyword-based approach and thus might not be completely reliable."
"SERVICE_INSTALLED",               "Invoke-InstalledServiceCheck",                "TA0004 - Privilege Escalation", "Services - Non-Default Services",                  "None",     "List",   "Base",         "True",       "False", "Get information about third-party services. It does so by parsing the target executable's metadata and checking whether the publisher is Microsoft."
"SERVICE_THIRD_PARTY",             "Invoke-ThirdPartyDriverCheck",                "TA0004 - Privilege Escalation", "Services - Non-Default Kernel Drivers",            "None",     "List",   "Extended",     "True",       "False", "Get information about third-party kernel drivers. It does so by parsing the driver's metadata and checking whether the publisher is Microsoft."
"SERVICE_VULN_DRIVER",             "Invoke-VulnerableDriverCheck",                "TA0004 - Privilege Escalation", "Services - Known Vulnerable Kernel Drivers",       "High",     "List",   "Base",         "True",       "False", "Check whether known vulnerable kernel drivers are installed. It does so by computing the file hash of each driver and comparing the value against the list provided by loldrivers.io."
"SERVICE_KERNEL_DEVICES",          "Invoke-NamedKernelDeviceCheck",               "TA0004 - Privilege Escalation", "Services - Named Kernel Device Permissions",       "None",     "List",   "Extended",     "False",      "False", "Get information about named Kernel devices for which low-privileged users are granted write access. This can be helpful as a first step to identify exploitable drivers."
"SERVICE_PERMISSIONS",             "Invoke-ServicePermissionCheck",               "TA0004 - Privilege Escalation", "Services - Permissions",                           "High",     "List",   "Base",         "False",      "False", "Check whether the current user has any write permissions on a service through the Service Control Manager (SCM)."
"SERVICE_PERMISSIONS_REGISTRY",    "Invoke-ServiceRegistryPermissionCheck",       "TA0004 - Privilege Escalation", "Services - Registry Permissions",                  "High",     "List",   "Base",         "False",      "False", "Check whether the current user has any write permissions on the configuration of a service in the registry."
"SERVICE_IMAGE_PERMISSIONS",       "Invoke-ServiceImagePermissionCheck",          "TA0004 - Privilege Escalation", "Services - Image File Permissions",                "High",     "List",   "Base",         "False",      "False", "Check whether the current user has any write permissions on a service's binary or its folder."
"SERVICE_UNQUOTED_PATH",           "Invoke-ServiceUnquotedPathCheck",             "TA0004 - Privilege Escalation", "Services - Unquoted Paths",                        "High",     "List",   "Base",         "False",      "False", "Check whether there are services configured with an exploitable unquoted path that contains spaces."
"SERVICE_SCM_PERMISSIONS",         "Invoke-ServiceControlManagerPermissionCheck", "TA0004 - Privilege Escalation", "Services - Service Control Manager Permissions",   "High",     "List",   "Base",         "False",      "False", "Check whether the current user has any write permissions on the Service Control Manager (SCM)."
"SERVICE_HARDCODED_CREDS",         "Invoke-ServiceCredentialCheck",               "TA0006 - Credential Access",    "Services - Hardcoded Credentials",                 "Low",      "List",   "Extended",     "True",       "False", "Check whether there are services configured with hardcoded credentials, in which case the service account's password is likely to be stored in a reversible format in the registry, and can be extracted with administrator privileges."
"APP_INSTALLED",                   "Invoke-InstalledApplicationCheck",            "TA0043 - Reconnaissance",       "Applications - Microsoft",                         "None",     "Table",  "Extended",     "True",       "False", "Get information about Microsoft applications installed on the machine by searching the registry and the default install locations."
"APP_INSTALLED_THIRD_PARTY",       "Invoke-InstalledApplicationThirdPartyCheck",  "TA0043 - Reconnaissance",       "Applications - Third-Party",                       "None",     "Table",  "Extended",     "True",       "False", "Get information about third-party applications installed on the machine by searching the registry and the default install locations."
"APP_MODIFIABLE",                  "Invoke-InstalledApplicationPermissionCheck",  "TA0004 - Privilege Escalation", "Applications - File Permissions",                  "Medium",   "List",   "Extended",     "False",      "False", "Check whether the current user has any write permissions on non-default or third-party applications."
"APP_PROGRAMDATA",                 "Invoke-ProgramDataPermissionCheck",           "TA0004 - Privilege Escalation", "Applications - ProgramData Folder Permissions",    "Low",      "List",   "Experimental", "False",      "False", "Check whether the current user has any write permissions on a non-default 'ProgramData' folder. This check is purely informative and the results require manual analysis."
"APP_ROOT_FOLDER_PERMISSIONS",     "Invoke-RootFolderPermissionCheck",            "TA0004 - Privilege Escalation", "Applications - Root Folder Permissions",           "Low",      "List",   "Extended",     "False",      "False", "Check whether the current user has any modification right on or within a folder located at the root of a 'fixed' drive."
"APP_STARTUP",                     "Invoke-StartupApplicationPermissionCheck",    "TA0004 - Privilege Escalation", "Applications - Startup Application Permissions",   "Medium",   "List",   "Extended",     "False",      "False", "Check whether the current user has any write permissions on system-wide applications that are run at startup for all users."
"APP_PROCESSES",                   "Invoke-RunningProcessCheck",                  "TA0043 - Reconnaissance",       "Applications - Running Processes",                 "None",     "Table",  "Extended",     "True",       "False", "Get information about the currently running processes that are not owned by the current user. Processes such as 'svchost.exe' are filtered out."
